Instrument Token,Exchange Token,Trading Symbol,Name,Last Price,Expiry,Strike,Tick Size,Lot Size,Instrument Type,Segment,Exchange,Expiry Date
13539074,52887,BANKNIFTY25OCT49300PE,"BANKNIFTY",0,2025-10-28,49300,0.05,35,PE,NFO-OPT,NFO,2025-10-28
10942210,42743,NIFTY25O1426200CE,"NIFTY",0,2025-10-14,26200,0.05,75,CE,NFO-OPT,NFO,2025-10-14
13769218,53786,BANKNIFTY25OCT60400PE,"BANKNIFTY",0,2025-10-28,60400,0.05,35,PE,NFO-OPT,NFO,2025-10-28
15044610,58768,NIFTY25OCT24000CE,"NIFTY",0,2025-10-28,24000,0.05,75,CE,NFO-OPT,NFO,2025-10-28
13536002,52875,BANKNIFTY25OCT48900PE,"BANKNIFTY",0,2025-10-28,48900,0.05,35,PE,NFO-OPT,NFO,2025-10-28
10925058,42676,NIFTY25O1425000PE,"NIFTY",0,2025-10-14,25000,0.05,75,PE,NFO-OPT,NFO,2025-10-14
15083522,58920,NIFTY25OCT25050PE,"NIFTY",0,2025-10-28,25050,0.05,75,PE,NFO-OPT,NFO,2025-10-28
15094530,58963,NIFTY25OCT25800CE,"NIFTY",0,2025-10-28,25800,0.05,75,CE,NFO-OPT,NFO,2025-10-28
13521154,52817,BANKNIFTY25OCT47000PE,"BANKNIFTY",0,2025-10-28,47000,0.05,35,PE,NFO-OPT,NFO,2025-10-28
15078658,58901,NIFTY25OCT24900CE,"NIFTY",0,2025-10-28,24900,0.05,75,CE,NFO-OPT,NFO,2025-10-28
15109634,59022,NIFTY25OCT26100CE,"NIFTY",0,2025-10-28,26100,0.05,75,CE,NFO-OPT,NFO,2025-10-28
13595138,53106,BANKNIFTY25OCT56300CE,"BANKNIFTY",0,2025-10-28,56300,0.05,35,CE,NFO-OPT,NFO,2025-10-28
13569282,53005,BANKNIFTY25OCT54000CE,"BANKNIFTY",0,2025-10-28,54000,0.05,35,CE,NFO-OPT,NFO,2025-10-28
13557250,52958,BANKNIFTY25OCT52200CE,"BANKNIFTY",0,2025-10-28,52200,0.05,35,CE,NFO-OPT,NFO,2025-10-28
10918402,42650,NIFTY25O1424600PE,"NIFTY",0,2025-10-14,24600,0.05,75,PE,NFO-OPT,NFO,2025-10-14
13527554,52842,BANKNIFTY25OCT48000CE,"BANKNIFTY",0,2025-10-28,48000,0.05,35,CE,NFO-OPT,NFO,2025-10-28
13587458,53076,BANKNIFTY25OCT55000CE,"BANKNIFTY",0,2025-10-28,55000,0.05,35,CE,NFO-OPT,NFO,2025-10-28
13550082,52930,BANKNIFTY25OCT51000CE,"BANKNIFTY",0,2025-10-28,51000,0.05,35,CE,NFO-OPT,NFO,2025-10-28
13587714,53077,BANKNIFTY25OCT55000PE,"BANKNIFTY",0,2025-10-28,55000,0.05,35,PE,NFO-OPT,NFO,2025-10-28
13607682,53155,BANKNIFTY25OCT58000CE,"BANKNIFTY",0,2025-10-28,58000,0.05,35,CE,NFO-OPT,NFO,2025-10-28
13778178,53821,BANKNIFTY25OCT60600PE,"BANKNIFTY",0,2025-10-28,60600,0.05,35,PE,NFO-OPT,NFO,2025-10-28
10913282,42630,NIFTY25O1424300PE,"NIFTY",0,2025-10-14,24300,0.05,75,PE,NFO-OPT,NFO,2025-10-14
15106818,59011,NIFTY25OCT26050PE,"NIFTY",0,2025-10-28,26050,0.05,75,PE,NFO-OPT,NFO,2025-10-28
15046658,58776,NIFTY25OCT24200CE,"NIFTY",0,2025-10-28,24200,0.05,75,CE,NFO-OPT,NFO,2025-10-28
10892034,42547,NIFTY25O1423100CE,"NIFTY",0,2025-10-14,23100,0.05,75,CE,NFO-OPT,NFO,2025-10-14
13604866,53144,BANKNIFTY25OCT57700CE,"BANKNIFTY",0,2025-10-28,57700,0.05,35,CE,NFO-OPT,NFO,2025-10-28
10906370,42603,NIFTY25O1423850CE,"NIFTY",0,2025-10-14,23850,0.05,75,CE,NFO-OPT,NFO,2025-10-14
10921218,42661,NIFTY25O1424800CE,"NIFTY",0,2025-10-14,24800,0.05,75,CE,NFO-OPT,NFO,2025-10-14
13545730,52913,BANKNIFTY25OCT50100PE,"BANKNIFTY",0,2025-10-28,50100,0.05,35,PE,NFO-OPT,NFO,2025-10-28
13551362,52935,BANKNIFTY25OCT51100PE,"BANKNIFTY",0,2025-10-28,51100,0.05,35,PE,NFO-OPT,NFO,2025-10-28
15046914,58777,NIFTY25OCT24200PE,"NIFTY",0,2025-10-28,24200,0.05,75,PE,NFO-OPT,NFO,2025-10-28
13598210,53118,BANKNIFTY25OCT56900CE,"BANKNIFTY",0,2025-10-28,56900,0.05,35,CE,NFO-OPT,NFO,2025-10-28
10946306,42759,NIFTY25O1426500CE,"NIFTY",0,2025-10-14,26500,0.05,75,CE,NFO-OPT,NFO,2025-10-14
13510914,52777,BANKNIFTY25OCT46000PE,"BANKNIFTY",0,2025-10-28,46000,0.05,35,PE,NFO-OPT,NFO,2025-10-28
15116034,59047,NIFTY25OCT26450PE,"NIFTY",0,2025-10-28,26450,0.05,75,PE,NFO-OPT,NFO,2025-10-28
13619714,53202,BANKNIFTY25OCT58800PE,"BANKNIFTY",0,2025-10-28,58800,0.05,35,PE,NFO-OPT,NFO,2025-10-28
10905858,42601,NIFTY25O1423800CE,"NIFTY",0,2025-10-14,23800,0.05,75,CE,NFO-OPT,NFO,2025-10-14
15131906,59109,NIFTY25OCT26950CE,"NIFTY",0,2025-10-28,26950,0.05,75,CE,NFO-OPT,NFO,2025-10-28
15035906,58734,NIFTY25OCT23200CE,"NIFTY",0,2025-10-28,23200,0.05,75,CE,NFO-OPT,NFO,2025-10-28
10923266,42669,NIFTY25O1424900CE,"NIFTY",0,2025-10-14,24900,0.05,75,CE,NFO-OPT,NFO,2025-10-14
10923778,42671,NIFTY25O1424950CE,"NIFTY",0,2025-10-14,24950,0.05,75,CE,NFO-OPT,NFO,2025-10-14
15035394,58732,NIFTY25OCT23150CE,"NIFTY",0,2025-10-28,23150,0.05,75,CE,NFO-OPT,NFO,2025-10-28
13652994,53332,BANKNIFTY25OCT59300CE,"BANKNIFTY",0,2025-10-28,59300,0.05,35,CE,NFO-OPT,NFO,2025-10-28
13588994,53082,BANKNIFTY25OCT55300CE,"BANKNIFTY",0,2025-10-28,55300,0.05,35,CE,NFO-OPT,NFO,2025-10-28
13534210,52868,BANKNIFTY25OCT48700CE,"BANKNIFTY",0,2025-10-28,48700,0.05,35,CE,NFO-OPT,NFO,2025-10-28
13592834,53097,BANKNIFTY25OCT55900PE,"BANKNIFTY",0,2025-10-28,55900,0.05,35,PE,NFO-OPT,NFO,2025-10-28
13607938,53156,BANKNIFTY25OCT58000PE,"BANKNIFTY",0,2025-10-28,58000,0.05,35,PE,NFO-OPT,NFO,2025-10-28
15133186,59114,NIFTY25OCT27050PE,"NIFTY",0,2025-10-28,27050,0.05,75,PE,NFO-OPT,NFO,2025-10-28
10949634,42772,NIFTY25O1426750PE,"NIFTY",0,2025-10-14,26750,0.05,75,PE,NFO-OPT,NFO,2025-10-14
13549826,52929,BANKNIFTY25OCT50900PE,"BANKNIFTY",0,2025-10-28,50900,0.05,35,PE,NFO-OPT,NFO,2025-10-28
13649922,53320,BANKNIFTY25OCT59200CE,"BANKNIFTY",0,2025-10-28,59200,0.05,35,CE,NFO-OPT,NFO,2025-10-28
13570562,53010,BANKNIFTY25OCT54200PE,"BANKNIFTY",0,2025-10-28,54200,0.05,35,PE,NFO-OPT,NFO,2025-10-28
13553666,52944,BANKNIFTY25OCT51600CE,"BANKNIFTY",0,2025-10-28,51600,0.05,35,CE,NFO-OPT,NFO,2025-10-28
15129346,59099,NIFTY25OCT26700CE,"NIFTY",0,2025-10-28,26700,0.05,75,CE,NFO-OPT,NFO,2025-10-28
15042050,58758,NIFTY25OCT23750CE,"NIFTY",0,2025-10-28,23750,0.05,75,CE,NFO-OPT,NFO,2025-10-28
15044866,58769,NIFTY25OCT24000PE,"NIFTY",0,2025-10-28,24000,0.05,75,PE,NFO-OPT,NFO,2025-10-28
10899714,42577,NIFTY25O1423400CE,"NIFTY",0,2025-10-14,23400,0.05,75,CE,NFO-OPT,NFO,2025-10-14
13570306,53009,BANKNIFTY25OCT54200CE,"BANKNIFTY",0,2025-10-28,54200,0.05,35,CE,NFO-OPT,NFO,2025-10-28
13600002,53125,BANKNIFTY25OCT57100PE,"BANKNIFTY",0,2025-10-28,57100,0.05,35,PE,NFO-OPT,NFO,2025-10-28
15085314,58927,NIFTY25OCT25250CE,"NIFTY",0,2025-10-28,25250,0.05,75,CE,NFO-OPT,NFO,2025-10-28
15069954,58867,NIFTY25OCT24650PE,"NIFTY",0,2025-10-28,24650,0.05,75,PE,NFO-OPT,NFO,2025-10-28
10919938,42656,NIFTY25O1424700PE,"NIFTY",0,2025-10-14,24700,0.05,75,PE,NFO-OPT,NFO,2025-10-14
15078146,58899,NIFTY25OCT24850CE,"NIFTY",0,2025-10-28,24850,0.05,75,CE,NFO-OPT,NFO,2025-10-28
15044098,58766,NIFTY25OCT23950CE,"NIFTY",0,2025-10-28,23950,0.05,75,CE,NFO-OPT,NFO,2025-10-28
15033090,58723,NIFTY25OCT23000PE,"NIFTY",0,2025-10-28,23000,0.05,75,PE,NFO-OPT,NFO,2025-10-28
13952770,54503,BANKNIFTY25OCT63500CE,"BANKNIFTY",0,2025-10-28,63500,0.05,35,CE,NFO-OPT,NFO,2025-10-28
15045634,58772,NIFTY25OCT24100CE,"NIFTY",0,2025-10-28,24100,0.05,75,CE,NFO-OPT,NFO,2025-10-28
13585922,53070,BANKNIFTY25OCT54700PE,"BANKNIFTY",0,2025-10-28,54700,0.05,35,PE,NFO-OPT,NFO,2025-10-28
13567746,52999,BANKNIFTY25OCT53900CE,"BANKNIFTY",0,2025-10-28,53900,0.05,35,CE,NFO-OPT,NFO,2025-10-28
13779458,53826,BANKNIFTY25OCT60900CE,"BANKNIFTY",0,2025-10-28,60900,0.05,35,CE,NFO-OPT,NFO,2025-10-28
15043330,58763,NIFTY25OCT23850PE,"NIFTY",0,2025-10-28,23850,0.05,75,PE,NFO-OPT,NFO,2025-10-28
13600514,53127,BANKNIFTY25OCT57200PE,"BANKNIFTY",0,2025-10-28,57200,0.05,35,PE,NFO-OPT,NFO,2025-10-28
10927618,42686,NIFTY25O1425150PE,"NIFTY",0,2025-10-14,25150,0.05,75,PE,NFO-OPT,NFO,2025-10-14
10904066,42594,NIFTY25O1423650PE,"NIFTY",0,2025-10-14,23650,0.05,75,PE,NFO-OPT,NFO,2025-10-14
10896386,42564,NIFTY25O1423250PE,"NIFTY",0,2025-10-14,23250,0.05,75,PE,NFO-OPT,NFO,2025-10-14
15085570,58928,NIFTY25OCT25250PE,"NIFTY",0,2025-10-28,25250,0.05,75,PE,NFO-OPT,NFO,2025-10-28
15041538,58756,NIFTY25OCT23700CE,"NIFTY",0,2025-10-28,23700,0.05,75,CE,NFO-OPT,NFO,2025-10-28
10929922,42695,NIFTY25O1425350CE,"NIFTY",0,2025-10-14,25350,0.05,75,CE,NFO-OPT,NFO,2025-10-14
13561346,52974,BANKNIFTY25OCT53000CE,"BANKNIFTY",0,2025-10-28,53000,0.05,35,CE,NFO-OPT,NFO,2025-10-28
15118850,59058,NIFTY25OCT26550CE,"NIFTY",0,2025-10-28,26550,0.05,75,CE,NFO-OPT,NFO,2025-10-28
15091970,58953,NIFTY25OCT25650CE,"NIFTY",0,2025-10-28,25650,0.05,75,CE,NFO-OPT,NFO,2025-10-28
13953026,54504,BANKNIFTY25OCT63500PE,"BANKNIFTY",0,2025-10-28,63500,0.05,35,PE,NFO-OPT,NFO,2025-10-28
10935554,42717,NIFTY25O1425700CE,"NIFTY",0,2025-10-14,25700,0.05,75,CE,NFO-OPT,NFO,2025-10-14
13543682,52905,BANKNIFTY25OCT49800PE,"BANKNIFTY",0,2025-10-28,49800,0.05,35,PE,NFO-OPT,NFO,2025-10-28
10942722,42745,NIFTY25O1426250CE,"NIFTY",0,2025-10-14,26250,0.05,75,CE,NFO-OPT,NFO,2025-10-14
256265,1001,NIFTY 50,"NIFTY 50",0,,9.03325e-312,0.05,1,INDEX,INDICES,NSE,
13548802,52925,BANKNIFTY25OCT50700PE,"BANKNIFTY",0,2025-10-28,50700,0.05,35,PE,NFO-OPT,NFO,2025-10-28
15086338,58931,NIFTY25OCT25350CE,"NIFTY",0,2025-10-28,25350,0.05,75,CE,NFO-OPT,NFO,2025-10-28
13588738,53081,BANKNIFTY25OCT55200PE,"BANKNIFTY",0,2025-10-28,55200,0.05,35,PE,NFO-OPT,NFO,2025-10-28
13777922,53820,BANKNIFTY25OCT60600CE,"BANKNIFTY",0,2025-10-28,60600,0.05,35,CE,NFO-OPT,NFO,2025-10-28
13600258,53126,BANKNIFTY25OCT57200CE,"BANKNIFTY",0,2025-10-28,57200,0.05,35,CE,NFO-OPT,NFO,2025-10-28
15088386,58939,NIFTY25OCT25500PE,"NIFTY",0,2025-10-28,25500,0.05,75,PE,NFO-OPT,NFO,2025-10-28
13747458,53701,BANKNIFTY25OCT59900CE,"BANKNIFTY",0,2025-10-28,59900,0.05,35,CE,NFO-OPT,NFO,2025-10-28
13561858,52976,BANKNIFTY25OCT53100CE,"BANKNIFTY",0,2025-10-28,53100,0.05,35,CE,NFO-OPT,NFO,2025-10-28
13652738,53331,BANKNIFTY25OCT59200PE,"BANKNIFTY",0,2025-10-28,59200,0.05,35,PE,NFO-OPT,NFO,2025-10-28
13588226,53079,BANKNIFTY25OCT55100PE,"BANKNIFTY",0,2025-10-28,55100,0.05,35,PE,NFO-OPT,NFO,2025-10-28
13778434,53822,BANKNIFTY25OCT60700CE,"BANKNIFTY",0,2025-10-28,60700,0.05,35,CE,NFO-OPT,NFO,2025-10-28
13523458,52826,BANKNIFTY25OCT47500CE,"BANKNIFTY",0,2025-10-28,47500,0.05,35,CE,NFO-OPT,NFO,2025-10-28
13682434,53447,BANKNIFTY25OCT59600CE,"BANKNIFTY",0,2025-10-28,59600,0.05,35,CE,NFO-OPT,NFO,2025-10-28
15039234,58747,NIFTY25OCT23500PE,"NIFTY",0,2025-10-28,23500,0.05,75,PE,NFO-OPT,NFO,2025-10-28
15110658,59026,NIFTY25OCT26150CE,"NIFTY",0,2025-10-28,26150,0.05,75,CE,NFO-OPT,NFO,2025-10-28
10940162,42735,NIFTY25O1426050CE,"NIFTY",0,2025-10-14,26050,0.05,75,CE,NFO-OPT,NFO,2025-10-14
10934274,42712,NIFTY25O1425550PE,"NIFTY",0,2025-10-14,25550,0.05,75,PE,NFO-OPT,NFO,2025-10-14
13552386,52939,BANKNIFTY25OCT51300PE,"BANKNIFTY",0,2025-10-28,51300,0.05,35,PE,NFO-OPT,NFO,2025-10-28
10949890,42773,NIFTY25O1426800CE,"NIFTY",0,2025-10-14,26800,0.05,75,CE,NFO-OPT,NFO,2025-10-14
13560834,52972,BANKNIFTY25OCT52900CE,"BANKNIFTY",0,2025-10-28,52900,0.05,35,CE,NFO-OPT,NFO,2025-10-28
15048706,58784,NIFTY25OCT24400CE,"NIFTY",0,2025-10-28,24400,0.05,75,CE,NFO-OPT,NFO,2025-10-28
15109890,59023,NIFTY25OCT26100PE,"NIFTY",0,2025-10-28,26100,0.05,75,PE,NFO-OPT,NFO,2025-10-28
13608450,53158,BANKNIFTY25OCT58100PE,"BANKNIFTY",0,2025-10-28,58100,0.05,35,PE,NFO-OPT,NFO,2025-10-28
13621762,53210,BANKNIFTY25OCT59000PE,"BANKNIFTY",0,2025-10-28,59000,0.05,35,PE,NFO-OPT,NFO,2025-10-28
15034114,58727,NIFTY25OCT23100CE,"NIFTY",0,2025-10-28,23100,0.05,75,CE,NFO-OPT,NFO,2025-10-28
13589506,53084,BANKNIFTY25OCT55400CE,"BANKNIFTY",0,2025-10-28,55400,0.05,35,CE,NFO-OPT,NFO,2025-10-28
13558274,52962,BANKNIFTY25OCT52400CE,"BANKNIFTY",0,2025-10-28,52400,0.05,35,CE,NFO-OPT,NFO,2025-10-28
260105,1016,NIFTY BANK,"NIFTY BANK",1.061e-314,,9.03325e-312,0.05,1,INDEX,INDICES,NSE,
10941186,42739,NIFTY25O1426100CE,"NIFTY",0,2025-10-14,26100,0.05,75,CE,NFO-OPT,NFO,2025-10-14
15080706,58909,NIFTY25OCT25000CE,"NIFTY",0,2025-10-28,25000,0.05,75,CE,NFO-OPT,NFO,2025-10-28
10934018,42711,NIFTY25O1425550CE,"NIFTY",0,2025-10-14,25550,0.05,75,CE,NFO-OPT,NFO,2025-10-14
15047938,58781,NIFTY25OCT24300PE,"NIFTY",0,2025-10-28,24300,0.05,75,PE,NFO-OPT,NFO,2025-10-28
13573634,53022,BANKNIFTY25OCT54400PE,"BANKNIFTY",0,2025-10-28,54400,0.05,35,PE,NFO-OPT,NFO,2025-10-28
15048450,58783,NIFTY25OCT24350PE,"NIFTY",0,2025-10-28,24350,0.05,75,PE,NFO-OPT,NFO,2025-10-28
10923522,42670,NIFTY25O1424900PE,"NIFTY",0,2025-10-14,24900,0.05,75,PE,NFO-OPT,NFO,2025-10-14
13564162,52985,BANKNIFTY25OCT53400PE,"BANKNIFTY",0,2025-10-28,53400,0.05,35,PE,NFO-OPT,NFO,2025-10-28
13596418,53111,BANKNIFTY25OCT56500PE,"BANKNIFTY",0,2025-10-28,56500,0.05,35,PE,NFO-OPT,NFO,2025-10-28
15037442,58740,NIFTY25OCT23350CE,"NIFTY",0,2025-10-28,23350,0.05,75,CE,NFO-OPT,NFO,2025-10-28
13556482,52955,BANKNIFTY25OCT52000PE,"BANKNIFTY",0,2025-10-28,52000,0.05,35,PE,NFO-OPT,NFO,2025-10-28
10917890,42648,NIFTY25O1424550PE,"NIFTY",0,2025-10-14,24550,0.05,75,PE,NFO-OPT,NFO,2025-10-14
10890754,42542,NIFTY25O1423000PE,"NIFTY",0,2025-10-14,23000,0.05,75,PE,NFO-OPT,NFO,2025-10-14
13553410,52943,BANKNIFTY25OCT51500PE,"BANKNIFTY",0,2025-10-28,51500,0.05,35,PE,NFO-OPT,NFO,2025-10-28
15086594,58932,NIFTY25OCT25350PE,"NIFTY",0,2025-10-28,25350,0.05,75,PE,NFO-OPT,NFO,2025-10-28
13556738,52956,BANKNIFTY25OCT52100CE,"BANKNIFTY",0,2025-10-28,52100,0.05,35,CE,NFO-OPT,NFO,2025-10-28
15031810,58718,NIFTY25OCT22950CE,"NIFTY",0,2025-10-28,22950,0.05,75,CE,NFO-OPT,NFO,2025-10-28
15093762,58960,NIFTY25OCT25750CE,"NIFTY",0,2025-10-28,25750,0.05,75,CE,NFO-OPT,NFO,2025-10-28
10939138,42731,NIFTY25O1425950CE,"NIFTY",0,2025-10-14,25950,0.05,75,CE,NFO-OPT,NFO,2025-10-14
15077122,58895,NIFTY25OCT24750CE,"NIFTY",0,2025-10-28,24750,0.05,75,CE,NFO-OPT,NFO,2025-10-28
13885186,54239,BANKNIFTY25OCT62500PE,"BANKNIFTY",0,2025-10-28,62500,0.05,35,PE,NFO-OPT,NFO,2025-10-28
10889986,42539,NIFTY25O1422950CE,"NIFTY",0,2025-10-14,22950,0.05,75,CE,NFO-OPT,NFO,2025-10-14
10919170,42653,NIFTY25O1424700CE,"NIFTY",0,2025-10-14,24700,0.05,75,CE,NFO-OPT,NFO,2025-10-14
13607170,53153,BANKNIFTY25OCT57900PE,"BANKNIFTY",0,2025-10-28,57900,0.05,35,PE,NFO-OPT,NFO,2025-10-28
13537026,52879,BANKNIFTY25OCT49000PE,"BANKNIFTY",0,2025-10-28,49000,0.05,35,PE,NFO-OPT,NFO,2025-10-28
10949122,42770,NIFTY25O1426700PE,"NIFTY",0,2025-10-14,26700,0.05,75,PE,NFO-OPT,NFO,2025-10-14
10928898,42691,NIFTY25O1425250CE,"NIFTY",0,2025-10-14,25250,0.05,75,CE,NFO-OPT,NFO,2025-10-14
13575426,53029,BANKNIFTY25OCT54500CE,"BANKNIFTY",0,2025-10-28,54500,0.05,35,CE,NFO-OPT,NFO,2025-10-28
15114242,59040,NIFTY25OCT26300PE,"NIFTY",0,2025-10-28,26300,0.05,75,PE,NFO-OPT,NFO,2025-10-28
13603074,53137,BANKNIFTY25OCT57400PE,"BANKNIFTY",0,2025-10-28,57400,0.05,35,PE,NFO-OPT,NFO,2025-10-28
10924290,42673,NIFTY25O1425000CE,"NIFTY",0,2025-10-14,25000,0.05,75,CE,NFO-OPT,NFO,2025-10-14
10904578,42596,NIFTY25O1423700PE,"NIFTY",0,2025-10-14,23700,0.05,75,PE,NFO-OPT,NFO,2025-10-14
13613826,53179,BANKNIFTY25OCT58400CE,"BANKNIFTY",0,2025-10-28,58400,0.05,35,CE,NFO-OPT,NFO,2025-10-28
15040770,58753,NIFTY25OCT23600PE,"NIFTY",0,2025-10-28,23600,0.05,75,PE,NFO-OPT,NFO,2025-10-28
15037954,58742,NIFTY25OCT23400CE,"NIFTY",0,2025-10-28,23400,0.05,75,CE,NFO-OPT,NFO,2025-10-28
13536770,52878,BANKNIFTY25OCT49000CE,"BANKNIFTY",0,2025-10-28,49000,0.05,35,CE,NFO-OPT,NFO,2025-10-28
15041794,58757,NIFTY25OCT23700PE,"NIFTY",0,2025-10-28,23700,0.05,75,PE,NFO-OPT,NFO,2025-10-28
13560322,52970,BANKNIFTY25OCT52800CE,"BANKNIFTY",0,2025-10-28,52800,0.05,35,CE,NFO-OPT,NFO,2025-10-28
15078402,58900,NIFTY25OCT24850PE,"NIFTY",0,2025-10-28,24850,0.05,75,PE,NFO-OPT,NFO,2025-10-28
15132162,59110,NIFTY25OCT26950PE,"NIFTY",0,2025-10-28,26950,0.05,75,PE,NFO-OPT,NFO,2025-10-28
13597442,53115,BANKNIFTY25OCT56700PE,"BANKNIFTY",0,2025-10-28,56700,0.05,35,PE,NFO-OPT,NFO,2025-10-28
10936834,42722,NIFTY25O1425800PE,"NIFTY",0,2025-10-14,25800,0.05,75,PE,NFO-OPT,NFO,2025-10-14
15114754,59042,NIFTY25OCT26350PE,"NIFTY",0,2025-10-28,26350,0.05,75,PE,NFO-OPT,NFO,2025-10-28
10892802,42550,NIFTY25O1423150CE,"NIFTY",0,2025-10-14,23150,0.05,75,CE,NFO-OPT,NFO,2025-10-14
13745666,53694,BANKNIFTY25OCT59700PE,"BANKNIFTY",0,2025-10-28,59700,0.05,35,PE,NFO-OPT,NFO,2025-10-28
13560066,52969,BANKNIFTY25OCT52700PE,"BANKNIFTY",0,2025-10-28,52700,0.05,35,PE,NFO-OPT,NFO,2025-10-28
15039490,58748,NIFTY25OCT23550CE,"NIFTY",0,2025-10-28,23550,0.05,75,CE,NFO-OPT,NFO,2025-10-28
15044354,58767,NIFTY25OCT23950PE,"NIFTY",0,2025-10-28,23950,0.05,75,PE,NFO-OPT,NFO,2025-10-28
13540098,52891,BANKNIFTY25OCT49400PE,"BANKNIFTY",0,2025-10-28,49400,0.05,35,PE,NFO-OPT,NFO,2025-10-28
10937346,42724,NIFTY25O1425850PE,"NIFTY",0,2025-10-14,25850,0.05,75,PE,NFO-OPT,NFO,2025-10-14
13576962,53035,BANKNIFTY25OCT54600CE,"BANKNIFTY",0,2025-10-28,54600,0.05,35,CE,NFO-OPT,NFO,2025-10-28
10941442,42740,NIFTY25O1426100PE,"NIFTY",0,2025-10-14,26100,0.05,75,PE,NFO-OPT,NFO,2025-10-14
13937922,54445,BANKNIFTY25OCT63000CE,"BANKNIFTY",0,2025-10-28,63000,0.05,35,CE,NFO-OPT,NFO,2025-10-28
13569794,53007,BANKNIFTY25OCT54100CE,"BANKNIFTY",0,2025-10-28,54100,0.05,35,CE,NFO-OPT,NFO,2025-10-28
10908674,42612,NIFTY25O1424000PE,"NIFTY",0,2025-10-14,24000,0.05,75,PE,NFO-OPT,NFO,2025-10-14
10909442,42615,NIFTY25O1424100CE,"NIFTY",0,2025-10-14,24100,0.05,75,CE,NFO-OPT,NFO,2025-10-14
13570050,53008,BANKNIFTY25OCT54100PE,"BANKNIFTY",0,2025-10-28,54100,0.05,35,PE,NFO-OPT,NFO,2025-10-28
15041282,58755,NIFTY25OCT23650PE,"NIFTY",0,2025-10-28,23650,0.05,75,PE,NFO-OPT,NFO,2025-10-28
15084034,58922,NIFTY25OCT25100PE,"NIFTY",0,2025-10-28,25100,0.05,75,PE,NFO-OPT,NFO,2025-10-28
10891266,42544,NIFTY25O1423050PE,"NIFTY",0,2025-10-14,23050,0.05,75,PE,NFO-OPT,NFO,2025-10-14
15132930,59113,NIFTY25OCT27050CE,"NIFTY",0,2025-10-28,27050,0.05,75,CE,NFO-OPT,NFO,2025-10-28
